Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds_all,weather_description,ano,mes,dia,hora,dia da semana
0.363,0.0,0.0,0,13.27,12.27,12.23,13.72,1019,62,3.43,32,6,2021,12,19,17,6
0.957,0.0,0.0,0,13.27,12.35,12.23,13.72,1018,65,3.84,96,5,2021,12,19,18,6
1.858,0.0,0.0,0,13.1,12.19,11.77,13.72,1018,66,3.93,100,5,2021,12,19,19,6
1.155,0.0,0.0,0,13.1,12.22,11.77,13.72,1018,67,3.71,100,5,2021,12,19,20,6
0.806,0.0,0.0,0,13.1,12.22,11.77,13.72,1018,67,3.8,100,5,2021,12,19,21,6
0.0,0.656,0.0,0,13.35,12.46,12.32,13.72,1017,66,4.24,99,5,2021,12,19,22,6
0.0,0.624,0.0,0,13.27,12.43,12.32,13.72,1017,68,4.14,98,5,2021,12,19,23,6
0.0,0.508,0.0,0,13.28,12.47,12.32,13.72,1017,69,4.2,100,5,2021,12,20,0,0
0.0,0.337,0.0,0,13.16,12.36,12.32,13.72,1017,70,4.23,99,5,2021,12,20,1,0
0.0,0.331,0.0,0,13.36,12.61,12.57,13.72,1017,71,4.23,50,6,2021,12,20,2,0
0.0,0.337,0.0,0,13.39,12.61,11.45,13.72,1016,70,4.12,37,6,2021,12,20,3,0
0.0,0.296,0.0,0,13.39,12.56,12.57,13.72,1016,68,4.29,79,0,2021,12,20,4,0
0.0,0.257,0.0,0,13.43,12.63,12.88,13.9,1016,69,4.2,89,5,2021,12,20,5,0
0.0,0.256,0.0,0,13.59,12.81,13.12,13.72,1016,69,4.21,80,0,2021,12,20,6,0
0.0,1.232,0.0,0,13.97,13.25,12.88,14.72,1016,70,4.29,82,0,2021,12,20,7,0
1.277,0.0,0.018,0,13.39,12.61,12.57,13.72,1016,70,4.01,99,5,2021,12,20,8,0
0.148,0.0,0.077,0,12.97,12.15,12.79,13.72,1017,70,4.0,99,5,2021,12,20,9,0
0.082,0.0,0.139,0,11.89,11.28,11.82,13.12,1017,82,4.41,100,5,2021,12,20,10,0
0.103,0.0,0.173,0,12.45,11.79,12.32,13.72,1017,78,4.38,100,5,2021,12,20,11,0
0.49,0.0,0.111,0,13.49,12.85,13.12,14.0,1016,75,4.38,100,3,2021,12,20,12,0
0.218,0.0,0.06,0,14.02,13.54,13.44,14.04,1016,79,4.79,100,3,2021,12,20,13,0
0.311,0.0,0.003,0,13.43,13.0,12.72,14.45,1015,83,5.21,100,4,2021,12,20,14,0
0.268,0.0,0.003,0,12.92,12.54,12.72,13.12,1015,87,5.22,100,4,2021,12,20,15,0
1.174,0.0,0.0,0,11.88,11.5,11.82,12.79,1015,91,4.93,100,4,2021,12,20,16,0
0.581,0.0,0.0,0,12.37,12.04,11.77,12.79,1015,91,4.56,100,4,2021,12,20,17,0
1.752,0.0,0.0,0,12.44,12.12,11.45,13.72,1015,91,4.81,100,4,2021,12,20,18,0
1.779,0.0,0.0,0,12.44,12.09,11.45,13.72,1015,90,4.77,100,4,2021,12,20,19,0
1.15,0.0,0.0,0,12.44,12.06,12.01,13.72,1015,89,4.56,84,3,2021,12,20,20,0
0.462,0.0,0.0,0,12.91,12.58,12.32,12.93,1015,89,4.55,99,3,2021,12,20,21,0
0.0,0.719,0.0,0,12.92,12.67,11.77,13.72,1016,92,4.12,100,4,2021,12,20,22,0
0.0,0.594,0.0,0,12.35,12.04,11.77,12.79,1016,92,3.99,100,4,2021,12,20,23,0
0.0,0.508,0.0,0,12.37,12.09,11.77,12.79,1016,93,3.94,100,4,2021,12,21,0,1
0.0,0.431,0.0,0,12.88,12.6,11.45,12.93,1016,91,3.82,100,4,2021,12,21,1,1
0.0,0.384,0.0,0,12.37,12.06,11.45,12.79,1016,92,3.33,100,4,2021,12,21,2,1
0.0,0.39,0.0,0,12.35,12.07,11.77,12.37,1016,93,2.69,100,3,2021,12,21,3,1
0.0,0.55,0.0,0,12.93,12.71,11.77,13.72,1016,93,2.48,100,3,2021,12,21,4,1
0.0,0.395,0.0,0,13.77,13.6,11.45,14.72,1015,92,3.23,99,3,2021,12,21,5,1
0.0,0.389,0.0,0,13.16,12.91,11.45,13.72,1015,91,2.73,97,3,2021,12,21,6,1
0.0,0.884,0.0,0,13.19,12.94,11.45,13.72,1015,91,2.98,100,5,2021,12,21,7,1
0.269,0.0,0.132,0,13.19,12.91,12.01,13.72,1015,90,4.2,100,5,2021,12,21,8,1
0.0,0.0,0.337,2,13.7,13.42,12.32,14.72,1015,88,4.35,100,5,2021,12,21,9,1
0.0,0.0,0.341,3,15.18,14.87,14.79,15.72,1015,81,3.92,99,5,2021,12,21,10,1
0.0,0.0,0.355,3,16.25,15.97,15.1,16.78,1014,78,4.53,86,5,2021,12,21,11,1
0.15,0.0,0.573,2,17.98,17.69,17.57,18.72,1014,71,5.13,96,5,2021,12,21,12,1
0.037,0.0,0.31,2,18.54,18.3,17.01,19.72,1013,71,5.21,97,5,2021,12,21,13,1
0.03,0.0,0.305,1,17.95,17.71,17.01,18.72,1013,73,4.89,99,5,2021,12,21,14,1
0.18,0.0,0.155,0,18.0,17.76,17.01,19.72,1012,73,5.03,100,5,2021,12,21,15,1
0.407,0.0,0.011,0,17.94,17.72,16.45,18.72,1012,74,4.43,100,5,2021,12,21,16,1
0.755,0.0,0.0,0,17.42,17.1,16.77,17.72,1013,72,3.79,91,5,2021,12,21,17,1
0.6,0.0,0.0,0,17.25,16.94,15.9,17.72,1013,73,3.52,62,0,2021,12,21,18,1
0.818,0.0,0.0,0,17.07,16.79,16.21,17.72,1013,75,3.5,41,6,2021,12,21,19,1
0.995,0.0,0.0,0,16.78,16.42,15.57,16.82,1013,73,3.68,59,0,2021,12,21,20,1
0.721,0.0,0.0,0,15.51,15.1,15.1,15.9,1014,76,3.47,74,3,2021,12,21,21,1
0.0,0.593,0.0,0,16.2,15.86,15.1,16.26,1013,76,3.34,81,0,2021,12,21,22,1
0.0,0.998,0.0,0,16.2,15.83,15.1,16.26,1013,75,2.84,70,3,2021,12,21,23,1
0.0,1.297,0.0,0,16.22,15.83,14.54,16.72,1013,74,2.74,63,3,2021,12,22,0,2
0.0,0.365,0.0,0,15.21,14.85,14.45,15.72,1013,79,2.38,58,3,2021,12,22,1,2
0.0,0.372,0.0,0,15.03,14.65,13.43,15.34,1014,79,2.11,72,3,2021,12,22,2,2
0.0,0.353,0.0,0,14.59,14.3,14.45,14.79,1014,84,1.97,89,5,2021,12,22,3,2
0.0,0.301,0.0,0,14.59,14.32,14.23,14.72,1014,85,2.35,80,3,2021,12,22,4,2
0.0,0.437,0.0,0,14.05,13.86,13.34,14.72,1014,90,2.87,59,3,2021,12,22,5,2
0.0,0.321,0.0,0,13.47,13.27,12.88,13.72,1014,92,3.05,46,6,2021,12,22,6,2
0.0,1.026,0.0,0,12.95,12.7,12.32,13.72,1015,92,2.9,34,6,2021,12,22,7,2
0.526,0.0,0.108,0,12.44,12.12,12.32,13.72,1015,91,3.01,38,6,2021,12,22,8,2
0.0,0.0,0.287,2,12.95,12.7,11.77,14.0,1016,92,3.16,40,6,2021,12,22,9,2
0.0,0.0,0.278,3,14.07,13.78,13.43,15.11,1016,86,3.94,59,0,2021,12,22,10,2
0.0,0.0,0.276,3,14.73,14.37,14.59,16.72,1016,81,3.98,35,6,2021,12,22,11,2
0.0,0.0,0.282,2,15.76,15.32,15.66,16.78,1016,74,5.69,52,0,2021,12,22,12,2
0.102,0.0,0.18,2,16.37,15.94,15.9,17.72,1015,72,5.44,49,6,2021,12,22,13,2
0.304,0.0,0.133,0,16.37,15.92,15.9,17.72,1015,71,5.2,54,0,2021,12,22,14,2
0.649,0.0,0.074,0,16.35,15.95,15.9,17.72,1014,73,4.05,68,0,2021,12,22,15,2
0.697,0.0,0.01,0,16.29,15.88,15.9,16.78,1014,73,3.78,66,0,2021,12,22,16,2
0.348,0.0,0.0,0,15.75,15.37,15.34,16.78,1014,76,3.42,94,5,2021,12,22,17,2
0.358,0.0,0.0,0,15.51,15.1,14.79,15.72,1014,76,3.33,99,5,2021,12,22,18,2
0.343,0.0,0.0,0,15.36,14.91,14.54,15.72,1014,75,3.54,100,5,2021,12,22,19,2
0.728,0.0,0.0,0,15.36,14.88,14.54,15.72,1015,74,3.99,100,5,2021,12,22,20,2
0.903,0.0,0.0,0,16.04,15.66,14.54,16.72,1014,75,3.97,100,5,2021,12,22,21,2
0.0,0.83,0.0,0,15.18,14.76,14.79,16.12,1014,77,5.37,100,5,2021,12,22,22,2
0.0,0.626,0.0,0,15.11,14.74,13.34,15.15,1014,79,5.68,100,3,2021,12,22,23,2
0.0,0.558,0.0,0,14.55,14.33,13.34,14.79,1014,87,5.55,100,4,2021,12,23,0,3
0.0,0.287,0.0,0,14.05,13.86,13.43,14.79,1014,90,5.38,100,4,2021,12,23,1,3
0.0,0.288,0.0,0,14.06,13.92,13.43,14.79,1014,92,5.14,100,4,2021,12,23,2,3
0.0,0.351,0.0,0,14.12,14.02,13.99,15.72,1014,93,4.65,100,4,2021,12,23,3,3
0.0,0.299,0.0,0,14.07,13.96,13.9,14.79,1014,93,3.96,100,4,2021,12,23,4,3
0.0,0.301,0.0,0,14.51,14.44,13.43,14.79,1014,93,3.09,100,4,2021,12,23,5,3
0.0,0.696,0.0,0,14.0,13.88,13.34,14.79,1014,93,2.6,100,4,2021,12,23,6,3
0.0,0.865,0.0,0,14.0,13.88,13.34,14.79,1014,93,2.39,100,3,2021,12,23,7,3
0.622,0.0,0.001,0,13.98,13.89,12.88,14.04,1014,94,2.27,100,3,2021,12,23,8,3
0.333,0.0,0.024,0,13.98,13.89,12.88,14.04,1015,94,2.16,100,3,2021,12,23,9,3
0.182,0.0,0.117,1,13.98,13.89,12.88,14.04,1015,94,2.61,100,3,2021,12,23,10,3
0.074,0.0,0.386,2,14.01,13.92,13.43,14.23,1015,94,2.63,95,3,2021,12,23,11,3
0.071,0.0,0.332,2,14.59,14.56,14.0,14.72,1014,94,3.28,91,3,2021,12,23,12,3
0.121,0.0,0.203,0,14.6,14.57,14.54,15.01,1014,94,3.65,49,3,2021,12,23,13,3
0.138,0.0,0.213,0,15.13,15.13,14.23,15.66,1013,93,3.33,89,3,2021,12,23,14,3
0.577,0.0,0.097,0,14.6,14.52,14.23,15.01,1013,92,3.42,61,3,2021,12,23,15,3
0.477,0.0,0.037,0,14.56,14.42,13.72,15.1,1013,90,3.44,72,3,2021,12,23,16,3
0.751,0.0,0.001,0,14.03,13.79,13.34,14.54,1013,88,2.62,92,3,2021,12,23,17,3
0.998,0.0,0.0,0,12.99,12.64,12.57,13.72,1013,88,2.85,67,0,2021,12,23,18,3
0.599,0.0,0.0,0,12.97,12.62,12.23,13.72,1014,88,3.93,68,0,2021,12,23,19,3
0.813,0.0,0.0,0,12.91,12.58,12.32,12.93,1014,89,4.46,60,0,2021,12,23,20,3
0.564,0.0,0.0,0,12.44,12.12,12.32,13.72,1013,91,4.59,57,0,2021,12,23,21,3
0.0,0.951,0.0,0,12.9,12.54,12.23,12.93,1014,88,5.0,93,5,2021,12,23,22,3
0.0,0.992,0.0,0,11.92,11.49,11.77,13.72,1013,89,4.74,100,5,2021,12,23,23,3
0.0,0.544,0.0,0,11.87,11.44,11.77,12.89,1012,89,4.44,100,5,2021,12,24,0,4
0.0,0.374,0.0,0,12.4,11.92,11.21,13.72,1012,85,4.69,99,3,2021,12,24,1,4
0.0,0.319,0.0,0,12.35,11.81,11.77,12.37,1011,83,4.9,100,3,2021,12,24,2,4
0.0,0.321,0.0,0,12.37,11.86,11.77,12.72,1011,84,5.22,100,3,2021,12,24,3,4
0.0,0.304,0.0,0,12.37,11.86,11.77,12.79,1010,84,5.24,100,3,2021,12,24,4,4
0.0,0.307,0.0,0,12.42,11.96,11.77,13.72,1010,86,5.32,100,3,2021,12,24,5,4
0.0,0.314,0.0,0,12.37,11.91,12.32,12.79,1009,86,5.66,100,3,2021,12,24,6,4
0.0,0.322,0.0,0,12.37,11.96,12.01,12.79,1009,88,5.7,100,4,2021,12,24,7,4
0.814,0.0,0.004,0,11.88,11.5,11.82,12.79,1009,91,5.52,100,4,2021,12,24,8,4
0.755,0.0,0.04,0,11.92,11.54,11.77,13.72,1009,91,5.36,100,4,2021,12,24,9,4
1.676,0.0,0.213,0,12.4,12.05,12.32,13.44,1009,90,5.25,100,4,2021,12,24,10,4
0.784,0.0,0.275,0,12.46,12.16,12.37,13.72,1008,92,5.32,99,3,2021,12,24,11,4
0.225,0.0,0.178,0,12.93,12.63,12.79,13.12,1008,90,5.22,98,3,2021,12,24,12,4
1.172,0.0,0.08,0,12.97,12.67,12.88,13.9,1007,90,5.0,90,3,2021,12,24,13,4
0.823,0.0,0.052,0,12.99,12.67,12.93,14.0,1006,89,5.08,98,4,2021,12,24,14,4
0.673,0.0,0.021,0,12.92,12.59,12.57,12.93,1006,89,5.54,100,4,2021,12,24,15,4
1.69,0.0,0.029,0,12.45,12.13,12.01,13.72,1006,91,5.32,100,4,2021,12,24,16,4
1.546,0.0,0.0,0,12.37,12.06,11.45,12.37,1005,92,4.82,100,4,2021,12,24,17,4
0.929,0.0,0.0,0,12.38,12.08,12.01,12.72,1005,92,4.41,100,3,2021,12,24,18,4
2.513,0.0,0.0,0,12.37,12.06,11.45,12.89,1005,92,4.07,100,3,2021,12,24,19,4
1.799,0.0,0.0,0,12.37,12.06,11.45,12.89,1005,92,4.87,100,3,2021,12,24,20,4
0.682,0.0,0.0,0,12.37,12.04,11.45,12.72,1005,91,4.98,100,3,2021,12,24,21,4
0.0,0.886,0.0,0,12.36,12.05,11.45,12.72,1004,92,4.38,100,3,2021,12,24,22,4
0.0,1.22,0.0,0,12.35,12.07,11.45,12.72,1004,93,4.62,100,3,2021,12,24,23,4
0.0,0.479,0.0,0,12.37,12.06,11.45,12.89,1003,92,4.85,100,3,2021,12,25,0,5
0.0,0.44,0.0,0,12.37,12.04,11.45,12.79,1003,91,4.6,100,3,2021,12,25,1,5
0.0,0.322,0.0,0,11.86,11.53,11.45,12.72,1003,93,4.06,100,3,2021,12,25,2,5
0.0,0.294,0.0,0,11.86,11.5,11.77,12.72,1002,92,3.28,100,4,2021,12,25,3,5
0.0,0.299,0.0,0,11.82,11.49,11.68,12.01,1002,93,2.72,100,4,2021,12,25,4,5
0.0,0.342,0.0,0,11.84,11.51,11.21,12.72,1001,93,3.42,100,4,2021,12,25,5,5
0.0,0.303,0.0,0,11.26,10.87,10.66,11.72,1000,93,4.05,100,4,2021,12,25,6,5
0.0,0.319,0.0,0,11.78,11.42,10.66,11.82,1000,92,3.99,100,4,2021,12,25,7,5
0.33,0.0,0.008,0,11.78,11.39,10.66,11.82,1001,91,4.47,99,4,2021,12,25,8,5
1.954,0.0,0.117,0,11.81,11.42,11.22,11.82,1001,91,4.39,100,4,2021,12,25,9,5
0.546,0.0,0.448,1,12.92,12.59,12.01,12.93,1003,89,2.68,100,3,2021,12,25,10,5
1.235,0.0,0.263,0,14.01,13.66,12.57,14.55,1003,84,2.39,84,0,2021,12,25,11,5
2.269,0.0,0.39,0,14.64,14.3,13.68,15.72,1004,82,2.0,93,5,2021,12,25,12,5
1.627,0.0,0.23,0,15.18,14.84,14.23,15.72,1004,80,1.15,99,5,2021,12,25,13,5
0.397,0.0,0.106,0,15.4,15.24,14.72,15.97,1005,86,1.04,100,5,2021,12,25,14,5
0.472,0.0,0.206,0,14.59,14.3,14.45,14.79,1005,84,1.0,100,5,2021,12,25,15,5
0.311,0.0,0.029,0,14.59,14.35,14.23,14.72,1006,86,1.2,100,5,2021,12,25,16,5
0.343,0.0,0.0,0,14.03,13.79,13.34,14.54,1007,88,1.04,100,5,2021,12,25,17,5
0.386,0.0,0.0,0,13.43,13.18,12.23,13.48,1008,90,1.16,100,5,2021,12,25,18,5
0.439,0.0,0.0,0,12.9,12.65,12.23,13.12,1008,92,1.4,100,5,2021,12,25,19,5
0.69,0.0,0.0,0,12.32,12.01,11.68,12.57,1009,92,1.38,100,5,2021,12,25,20,5
0.437,0.0,0.0,0,12.32,12.04,11.68,12.89,1010,93,1.31,100,5,2021,12,25,21,5
0.0,0.375,0.0,0,12.36,12.08,11.68,12.72,1010,93,1.18,100,5,2021,12,25,22,5
0.0,0.379,0.0,0,12.36,12.08,11.68,12.72,1010,93,1.73,100,5,2021,12,25,23,5
0.0,0.375,0.0,0,12.37,12.12,11.77,12.89,1010,94,2.69,98,5,2021,12,26,0,6
0.0,0.326,0.0,0,12.37,12.09,11.77,12.89,1010,93,2.46,100,5,2021,12,26,1,6
0.0,0.254,0.0,0,12.93,12.71,11.77,13.72,1011,93,2.94,100,5,2021,12,26,2,6
0.0,0.25,0.0,0,12.88,12.65,11.77,12.93,1011,93,3.29,100,3,2021,12,26,3,6
0.0,0.372,0.0,0,12.88,12.65,11.77,12.93,1010,93,3.72,100,3,2021,12,26,4,6
0.0,0.415,0.0,0,12.37,12.09,11.77,12.72,1010,93,3.42,100,4,2021,12,26,5,6
0.0,0.331,0.0,0,12.36,12.11,11.68,12.72,1009,94,3.37,100,3,2021,12,26,6,6
0.0,1.285,0.0,0,11.81,11.5,11.21,12.33,1009,94,3.49,100,4,2021,12,26,7,6
0.245,0.0,0.0,0,11.83,11.52,11.77,12.89,1009,94,3.83,100,4,2021,12,26,8,6
0.225,0.0,0.013,0,11.92,11.62,11.77,13.72,1008,94,4.12,100,4,2021,12,26,9,6
0.687,0.0,0.022,0,12.96,12.77,12.01,14.0,1008,94,3.0,100,4,2021,12,26,10,6
1.884,0.0,0.031,0,14.55,14.52,12.57,14.72,1009,94,3.02,100,4,2021,12,26,11,6
0.665,0.0,0.059,0,15.1,15.12,13.68,15.15,1008,94,3.05,100,4,2021,12,26,12,6
1.155,0.0,0.055,0,15.59,15.66,13.99,15.7,1008,94,4.38,100,4,2021,12,26,13,6
0.218,0.0,0.036,0,15.61,15.68,14.54,15.7,1007,94,5.55,100,4,2021,12,26,14,6
0.375,0.0,0.017,0,15.59,15.66,13.99,15.9,1007,94,5.99,100,3,2021,12,26,15,6
1.413,0.0,0.001,0,15.59,15.66,13.99,15.9,1008,94,6.67,100,3,2021,12,26,16,6
1.055,0.0,0.0,0,15.59,15.66,13.99,15.9,1008,94,6.85,100,3,2021,12,26,17,6
1.046,0.0,0.0,0,15.59,15.66,13.99,15.9,1009,94,6.43,100,3,2021,12,26,18,6
0.79,0.0,0.0,0,15.09,15.11,13.99,15.34,1009,94,6.11,100,3,2021,12,26,19,6
1.096,0.0,0.0,0,14.59,14.56,14.0,14.79,1009,94,6.03,100,3,2021,12,26,20,6
0.585,0.0,0.0,0,15.09,15.11,13.99,15.34,1008,94,5.58,100,3,2021,12,26,21,6
0.0,0.622,0.0,0,14.59,14.56,14.45,14.79,1008,94,6.92,100,4,2021,12,26,22,6
0.0,0.459,0.0,0,15.09,15.11,13.99,15.34,1008,94,6.92,100,4,2021,12,26,23,6
0.0,0.433,0.0,0,15.09,15.11,13.99,15.34,1009,94,6.54,94,4,2021,12,27,0,0
0.0,0.486,0.0,0,15.13,15.15,13.99,15.72,1010,94,6.52,72,3,2021,12,27,1,0
0.0,0.304,0.0,0,14.58,14.55,13.99,14.72,1011,94,5.58,55,3,2021,12,27,2,0
0.0,0.284,0.0,0,14.56,14.53,13.43,14.72,1011,94,4.39,30,3,2021,12,27,3,0
0.0,0.286,0.0,0,14.05,13.97,13.12,14.72,1011,94,4.38,58,3,2021,12,27,4,0
0.0,0.293,0.0,0,13.49,13.35,13.12,14.0,1013,94,4.92,87,3,2021,12,27,5,0
0.0,0.286,0.0,0,14.05,13.97,13.12,14.72,1013,94,4.54,99,3,2021,12,27,6,0
0.0,0.284,0.0,0,13.48,13.34,12.57,13.9,1013,94,4.55,100,3,2021,12,27,7,0
0.234,0.0,0.04,0,13.52,13.38,12.57,14.72,1014,94,4.89,93,3,2021,12,27,8,0
0.661,0.0,0.103,0,14.03,13.94,12.88,14.72,1014,94,5.2,98,3,2021,12,27,9,0
0.849,0.0,0.113,0,14.05,13.97,13.43,14.72,1015,94,4.61,30,3,2021,12,27,10,0
0.057,0.0,0.24,2,14.62,14.57,13.99,15.72,1015,93,5.17,93,3,2021,12,27,11,0
0.034,0.0,0.271,2,15.69,15.66,15.01,15.9,1015,90,6.02,98,3,2021,12,27,12,0
0.585,0.0,0.282,2,15.66,15.58,14.72,16.45,1015,88,6.06,92,3,2021,12,27,13,0
0.1,0.0,0.231,1,15.71,15.56,15.11,16.45,1014,85,6.61,82,3,2021,12,27,14,0
0.276,0.0,0.085,0,15.7,15.52,15.01,16.21,1015,84,6.11,99,3,2021,12,27,15,0
0.552,0.0,0.022,0,15.14,14.96,14.55,15.66,1016,86,5.95,97,5,2021,12,27,16,0
1.097,0.0,0.0,0,14.59,14.4,14.45,14.79,1016,88,5.58,74,0,2021,12,27,17,0
0.655,0.0,0.0,0,14.59,14.43,14.45,14.72,1017,89,5.21,59,0,2021,12,27,18,0
0.881,0.0,0.0,0,14.59,14.48,14.45,14.79,1017,91,4.83,66,3,2021,12,27,19,0
0.74,0.0,0.0,0,14.59,14.48,14.45,14.79,1017,91,4.44,79,3,2021,12,27,20,0
0.466,0.0,0.0,0,14.57,14.46,13.99,14.79,1018,91,4.32,78,3,2021,12,27,21,0
0.0,0.523,0.0,0,14.59,14.48,14.45,14.79,1018,91,4.49,64,3,2021,12,27,22,0
0.0,0.508,0.0,0,14.57,14.43,13.9,14.79,1018,90,4.56,69,3,2021,12,27,23,0
0.0,1.148,0.0,0,14.57,14.43,13.9,14.72,1018,90,4.91,100,3,2021,12,28,0,1
0.0,0.345,0.0,0,14.58,14.47,13.99,14.72,1019,91,5.06,100,3,2021,12,28,1,1
0.0,0.251,0.0,0,14.57,14.48,13.9,14.72,1019,92,5.03,100,3,2021,12,28,2,1
0.0,0.318,0.0,0,14.56,14.5,13.43,14.72,1019,93,4.85,100,3,2021,12,28,3,1
0.0,0.284,0.0,0,14.58,14.55,13.99,14.72,1019,94,4.68,100,3,2021,12,28,4,1
0.0,0.249,0.0,0,14.59,14.56,14.45,14.79,1020,94,4.64,100,3,2021,12,28,5,1
0.0,0.236,0.0,0,14.58,14.55,13.99,14.72,1020,94,4.78,100,3,2021,12,28,6,1
0.0,0.246,0.0,0,14.58,14.55,13.99,14.72,1020,94,4.75,100,3,2021,12,28,7,1
0.253,0.0,0.008,0,14.58,14.55,13.99,14.72,1021,94,4.64,100,3,2021,12,28,8,1
0.219,0.0,0.086,0,14.59,14.56,14.54,14.79,1022,94,4.63,100,3,2021,12,28,9,1
0.06,0.0,0.2,2,15.16,15.19,14.54,15.9,1022,94,4.18,100,3,2021,12,28,10,1
0.046,0.0,0.241,2,16.19,16.24,15.1,16.26,1023,91,4.97,100,3,2021,12,28,11,1
0.013,0.0,0.285,2,16.72,16.72,15.66,16.82,1023,87,5.2,93,3,2021,12,28,12,1
0.083,0.0,0.295,1,16.83,16.79,16.68,17.57,1023,85,5.9,60,3,2021,12,28,13,1
0.375,0.0,0.261,1,17.36,17.34,16.68,18.43,1022,84,5.85,75,3,2021,12,28,14,1
0.51,0.0,0.093,0,16.77,16.72,15.72,17.57,1023,85,5.42,90,3,2021,12,28,15,1
0.493,0.0,0.016,0,16.21,16.11,15.01,17.01,1023,85,3.84,77,0,2021,12,28,16,1
0.384,0.0,0.0,0,15.19,15.17,15.01,15.9,1023,92,3.45,68,3,2021,12,28,17,1
0.796,0.0,0.0,0,15.12,15.12,14.45,15.15,1024,93,3.44,82,3,2021,12,28,18,1
0.565,0.0,0.0,0,14.59,14.53,14.23,14.72,1024,93,3.4,83,3,2021,12,28,19,1
0.513,0.0,0.0,0,14.58,14.52,13.99,14.72,1024,93,3.4,100,5,2021,12,28,20,1
0.615,0.0,0.0,0,14.58,14.52,13.68,14.72,1024,93,3.38,100,3,2021,12,28,21,1
0.0,0.353,0.0,0,14.63,14.58,13.99,15.72,1024,93,2.79,100,3,2021,12,28,22,1
0.0,1.109,0.0,0,15.14,15.16,13.99,15.72,1024,94,3.01,100,5,2021,12,28,23,1
0.0,0.368,0.0,0,15.11,15.13,14.54,15.15,1024,94,3.26,100,5,2021,12,29,0,2
0.0,0.335,0.0,0,15.11,15.13,14.54,15.15,1024,94,3.35,100,5,2021,12,29,1,2
0.0,0.317,0.0,0,15.61,15.68,14.45,15.7,1024,94,3.69,100,3,2021,12,29,2,2
0.0,0.377,0.0,0,15.61,15.68,14.45,15.7,1024,94,3.5,100,3,2021,12,29,3,2
0.0,0.395,0.0,0,15.61,15.68,14.45,15.7,1024,94,3.03,100,3,2021,12,29,4,2
0.0,0.323,0.0,0,15.61,15.68,14.45,15.7,1024,94,2.69,100,3,2021,12,29,5,2
0.0,0.264,0.0,0,15.59,15.66,13.99,15.7,1024,94,2.44,100,3,2021,12,29,6,2
0.0,0.257,0.0,0,15.59,15.66,13.99,15.7,1024,94,2.3,100,3,2021,12,29,7,2
0.257,0.0,0.014,0,15.59,15.66,13.99,15.7,1024,94,2.17,100,3,2021,12,29,8,2
0.339,0.0,0.074,0,15.59,15.66,13.99,15.7,1025,94,2.24,100,3,2021,12,29,9,2
0.751,0.0,0.145,0,15.61,15.68,14.54,15.9,1025,94,2.55,100,3,2021,12,29,10,2
0.074,0.0,0.261,1,15.66,15.74,14.54,15.9,1026,94,3.45,99,3,2021,12,29,11,2
1.179,0.0,0.197,0,15.67,15.75,15.01,15.9,1025,94,4.46,96,3,2021,12,29,12,2
0.325,0.0,0.125,0,15.68,15.76,15.1,15.9,1025,94,4.97,92,5,2021,12,29,13,2
0.355,0.0,0.117,0,15.7,15.78,15.57,15.9,1025,94,4.75,75,0,2021,12,29,14,2
0.43,0.0,0.092,0,15.7,15.78,15.57,15.72,1024,94,3.44,88,5,2021,12,29,15,2
0.612,0.0,0.04,0,15.26,15.3,15.15,16.72,1024,94,2.68,84,0,2021,12,29,16,2
0.7,0.0,0.0,0,14.64,14.61,14.59,15.67,1024,94,1.72,95,5,2021,12,29,17,2
0.475,0.0,0.0,0,14.68,14.63,14.23,15.72,1024,93,0.9,91,5,2021,12,29,18,2
1.111,0.0,0.0,0,15.16,15.16,15.01,15.72,1024,93,1.05,89,5,2021,12,29,19,2
1.143,0.0,0.0,0,15.13,15.13,14.45,15.15,1024,93,1.39,92,5,2021,12,29,20,2
0.414,0.0,0.0,0,14.57,14.51,13.68,14.72,1024,93,1.62,61,0,2021,12,29,21,2
0.0,0.404,0.0,0,14.03,13.92,13.34,14.04,1024,93,1.75,86,5,2021,12,29,22,2
0.0,0.465,0.0,0,14.04,13.9,12.01,14.72,1024,92,1.71,57,0,2021,12,29,23,2
0.0,0.426,0.0,0,13.96,13.79,11.45,14.04,1023,91,1.56,34,6,2021,12,30,0,3
0.0,0.362,0.0,0,13.83,13.62,10.34,14.04,1023,90,1.54,27,6,2021,12,30,1,3
0.0,0.342,0.0,0,13.35,13.12,9.79,13.48,1023,91,1.54,59,0,2021,12,30,2,3
0.0,0.265,0.0,0,12.78,12.49,9.23,12.93,1022,91,1.63,50,6,2021,12,30,3,3
0.0,0.258,0.0,0,11.8,11.44,10.1,11.82,1022,92,1.95,88,5,2021,12,30,4,3
0.0,0.25,0.0,0,12.3,11.99,8.9,12.37,1022,92,2.24,100,5,2021,12,30,5,3
0.0,0.255,0.0,0,12.82,12.53,8.9,12.93,1022,91,2.41,100,5,2021,12,30,6,3
0.0,0.237,0.0,0,9.52,8.28,8.99,10.67,1022,97,2.46,100,5,2021,12,30,7,3
0.136,0.0,0.096,0,8.84,7.28,8.72,10.11,1022,97,2.75,98,5,2021,12,30,8,3
0.009,0.0,0.255,2,9.51,7.79,8.99,11.12,1021,98,3.24,96,5,2021,12,30,9,3
